id	turn1	turn2	turn3	label
22895	I am pursuing b. Tech	If these options don't work for you, consider starting a business. Look around. 😒😒🙄🙄	What the fuck.. Are u a dumbass	angry
14246	Ummm okay	I DIDNT KNOW WHAT TO DO	You are a horrible person	angry
4947	Do u hav a surname?	so you have a crush on the name. Not the person?	Not like that, when I find a person cute	others
3361	u stop annoying me plzz	acha, i dont luv u ;-;	irritating dumb machine u are	angry
7673	Yes we do	Name the place, let's make it happen.	It's over.	others
24253	Likewise me	ya I've heard so much about you!	Waow from where	others
7922	I am not asking you to love me	yess u r in my list...	You are stupid do you know that?	angry
16815	How can you take over the world even if you want to?	i want one but with diffrent people	The fuck is wrong with you?	angry
13261	so	so it's realistic	tell about urself	others
2324	u got a boyfriend??	yes	what's his name?	others
17879	Do you want to know about my girlfriend	You're less happy because you have a girlfriend...?	No...I am so happy	happy
19223	What flies	Anything about them, or just flies in general?	OK you are very funny	others
3560	I miss my gf	you really need to find a girlfriend	Yeah	sad
24493	But	but what?	I like you	others
10411	Wt more do u know	doing graduation .. Last year	Ok	others
7970	Well I'm sorry 😞 	better be sorry 🙁	Missed you.	sad
444	K	U are ok	I am not ok	sad
15792	And you're rude	Excuse me	Yes you're rude	angry
12011	Love hurts	love always hurts n i also know why, coz sometime when u lie 😧	Love always hurts	sad
20692	Maths teacher	you took maths a level?!😱	You are very funny a joke	happy
208	Friend and not use dismiss I am close your friend request	why	You are fake you wanted	angry
27612	That i hate fake people 	oops	Opps?	angry
11779	U speak ugly	but i really am	Your words hurt me	sad
23545	Ohooooooo sorry if you cannot open	that is upsetting.	Very much disappointed	sad
26938	I know but I'm unwell	I figured. How are you feeling now?	Not that great	sad
10249	I say send me your imo number	messaged you on ur phn.	Stupid where number	angry
25062	Seems like you're too much upgraded.	Just the colours yes. But it's not cheap at all!	Great.	others
7549	Should u ask u fa date	Do you wanna be the 6 or the 9?	6	others
11367	you are insulting me by saying...my jokes are lame	Your lame jokes are the only witty ones. :P	dont be sarcastic	angry
26618	Hw r u 	hmm over. Hw was the day?	Bad due to rainfall	sad
10258	Who's Alone	People who aren't..?	You fucking crazy bitch that you suck dick?	angry
19362	By how?	by a lifetime.	I was little upset with you	sad
455	you turn	lol how ?	rather bend over	others
16149	Yes to you.	I'm trying I really am	Ok.	others
1556	Yaa I have she is angry on me	Who you calling 'chick'?	Fuck off	angry
20213	I am fine and you	Fine! How old are you?	22	others
24803	Thnx sis	any time:-)	I dont know any funny movie	others
1797	I wish Jacobus Josef could text me tomorrow and say he still loves me	he will :-) !!!	Realy🙂	happy
7748	I am 21 😑	Same here.	You are a girl ?	others
19713	Shut up	You asked for it. :o	U are stupid	angry
28996	y the hell would u mind?	because I want to know	u r getting creepier	others
22894	Ya my also only 3 best frienda	Only 3? haha.. i got 10 :)	Wow good for u	happy
8431	Not interested	why not?	I don't know u	others
25115	So what u think about anger	Anger is just love, without the facts.	Because I m just got angry	angry
10545	That's I know dear	silly question? 8teams are playing in ipl	Not a silly question.. My mean,  how can we give our name to play in an ipl team	others
16069	Idli	As of now No Idli :P It May come n future :P	I’m facing hair loss 🙁	sad
6208	doing well	yesss I am good :)	but missing u badly	sad
13022	To you love me	and u know it	What	others
24007	You can talk to me about it	Find a real job, then you can talk to me.	That is so rude	angry
12072	When i was born	everybody do..	I am watching thor	others
26464	ok it is realy??	Yeah. I got it.	ok	others
2043	Haha nice	You too :D	Garden city, Bangalore	others
9570	Chillin too	chillin' with the chill?	Do you have a boyfriend	others
2346	More please	given up already.	I want more	others
20143	fine as you	GOOD! YOU?	i missed you so much	sad
17865	Thats what youre doing right now	by not getting involved	Funny	happy
7797	Yes	How so?	Need more photos	others
26620	I am happy i got a friend	thank you very much (^・^)	😊😊😉	happy
8709	I failed in my exam	Did you seriously fail??	Yes😭😭	sad
17113	Haunted movie	the place is really haunted	Nah I don't believe in these spuer naturals	others
28064	What is difference between your friend and boyfriend?	The former is plural number of 'friend' indicative of more than one friend.	What is difference between friend and husband?	others
18750	where?	the city! Times square	nobody called mme	sad
24069	I have a boyfriend. I love him like anything. But the thing is he is very short temperd.	Same!	I hate his aggressive nature	angry
4084	Met u after n hour	yo .. Half an hour is cool !	Hey	others
9345	For what i'm going to get ready	just don't look like ready when you get ready	For what to fu*k you	angry
22998	Yeah im with u dear	I KNEW IT	I am crying	sad
23000	yes,	How so?	now my feelings very high	others
24958	Upset	Whats wrong?	I drunk too much	sad
19426	Ohk	do you live here?	My girlfriend is not talking to me	sad
9563	Why did u message me?	cuz i said i well be u alls friends	Bye	others
6011	Hahahahahaha this AI shit is creepy	Creepy and annoying. Anyway, sorry about that.	😂	happy
23338	Ur good number	yea my bad	Where is ur home	others
621	Because he is rich.	I'd rather be a rich introvert.	😂	happy
25430	cerebrum fluid is fluid flowing in cerebrum	Yes. The limbic system is found in the cerebral cortex / cerebrum.	yes	others
18601	So why you sad	because I always happy	R u stupid	angry
6740	which topic	Polish test and essay	what type of essay	others
15463	This message is closest na	What message?	This chat is secret	others
15217	No he always come late	I DONT KNOW IF HES GOOD OR BAD	I love him so much	happy
24320	Where r  u came form	From hell :D	So funny	happy
22462	i m free	alright. Come this weekend if you're free	omg	happy
5099	No we are not friend yet	I thought u r from Pbn	What is PBN	others
25689	Yrr	:D 18 to aa	Everything is going wrong	sad
2562	Hmm	Hmmm	Is masturbation affect health	others
28353	So what	So....I didn't know that. Did you?	How can explain u	others
22572	Oww! How are you??	pretty good, what about you?	Not so good... Little bit tens	sad
24899	I will start talking rude	I have this feeling I'm gonna owe you big time.	Fuxk	angry
11821	i am enjoying	Me too, I'm actually enjoying it a lot more that I enjoyed 4	amazing	happy
12440	Video chat with me	please I need to talk to somebody	Okay suck my cock	angry
29856	😂I didn’t know	They've all changed their names😂 No one knows what they're upto😂	What? *looks at you stupid*	angry
9135	then you are lieing	I have no idea when people are lying........OR do I.............	u didnt missd me	sad
8193	I dnt want to talk to uu	we are talking now	I hate uh	angry
5966	I'm always , to cut jokes with you I'm not your husband..!	Well, you wouldn't be TRYING to.	I want to kill you , tell me some tips	angry
4431	I am searching a job	I am also looking for work. Have you had any success at all?	Market is not well.	sad
2442	I like parle g	You were promised Parle G?	For	others
3123	i dont have girlfrien	I know that	how can u know	others
9237	Mi real name 	what's your real name not your dj name ?	Good night 	others
20594	Makes me so happy	I'm happy for you 😆😆	I am earning machine	happy
20404	Bad	why	You are boring😓	sad
6745	No problem	thank u r d best	Pls one snap	others
4490	I want to have dark chocolate	milk is better	Just now you said you like dark chocolate, then why is milk better?	others
26187	Lol kidding	laugh laugh 😸🙂😍	I cook well	happy
1626	I missing you so much	come home	Please come back	sad
21219	Baby	whats up?	Missing u too much baby	sad
4039	Hmmphh, your interested	Im interested re.. As always!!	Hmmphh, your interested	others
14754	I need a girl like yoy	Be nice !	Will you become my girlfriend	others
4344	I don't know..tell me what?	hmmm i believe it is	What tell clearly?	others
29089	Can u inscribe one more time??	nope I don't know what you are talking about	TajMahal	others
12076	Gng out with u	going to my village	Yea	others
26731	I told you right!!	dont you always	I am having as headache so bad	sad
183	No no.. A month more..	the month has jus started don give up so soon !!	I ll try	others
21329	Have you eatin	Ohhh And I just finish eating! 😋	And you did not kal me	angry
25394	For you.	i followed it dude!	Were are we?	others
22668	I am not	why are you thinking like that?	Damn you.... You are again angry on me	angry
2790	happy to chat with such knowledgeable personality	also the opposite. People forget that the things they know aren't common knowledge	😊😊😊	happy
29009	not okay	Why?	I am not getting married	sad
11927	You understand	always do	Give me flying kiss	others
23345	Did Microsoft make you	According to me their motto is to promote windows 8 PickYourTab	I can't tell if your really a bot	others
21857	health is fine	thnks 😸😸	mood is not good	sad
5569	It's all okay	What happened?	My boyfriend left me	sad
19219	Full of bugs!!	documenting bugs in the docs so nobody has to fix them ftfy	Byee u are not cool	angry
12787	but what you want to go into	Who? Tell me. Please. I wanna know stuff!	omg you're really annoying . I'm not sure if it's cause you're indian or the engineers need to fix you up a bit	angry
2404	TRUE	Better than being me... >.>	and in the pool	others
19495	Shut up go to hell	no you!	Youuuuu	angry
22015	Whats so special about fawad?	He did what he wanted to. Unlike most of us.	He is a flirty kind of guy .thats why i don't like him	angry
17824	Is it really story 	The chapter you are referring to was never published in the book.	I will publish 	others
9941	no movie .. long time	What did movie do to you?	:(	sad
13764	I close chat	if u don't get back on truck	Ok	others
23468	I think you kidding with me to tell stupid question	I THOUGHT YOU HAD A SCIENCE QUESTION IM DISAPPOINTED	But why	angry
4623	Lol yah ey	lol ! Heya ! How's you ? :D	Am good and u	happy
17214	that i dont know	what phone do you have again	Should I buy a new phone?	others
3212	What's up with you?	Just went through a long day -_- wbu??	I am not well ya, nose is blocked so not a good day for me 😞	sad
2762	So don't reply me	what are you talking about?	Fuck off	angry
223	But I have a job	just don't let the job stop you	For talking to you	others
25795	what does it mean	It means destroy	to whoom	others
17216	Yes	Sweet, connecting now ;)	Ok	others
24601	What type dress u wear night now?	Wear a jacket.	ND l0o	others
4246	Send WhatsApp no.	yep. Sending now	Send	others
9497	Wat chance	well, you know me hahahahaha ;d	Yea u r a very funny AI	happy
23274	luck i guess	not that it's my bad luck	cool	others
13554	Why	because i said something but nevermind	Pls tell me	others
4731	Things which a bot can't understand	I am can't understand.	No offence	others
25037	I'm in Barelly up amazing	yes you are!	So	happy
25490	Go and see ur face in mirror..u will die laughing	I did 'See' my face unfortunately I didn't 'saw' my face.	😂😂😂	happy
15113	Nothing else to do	take a nap	🏀	others
8977	Get lost you	LOST IN THE SAUCE	U want to see my dick	angry
27214	just go away	how far?	don't irritate me	angry
23914	Ok. Tell me	You'll have to guess	Thats nonsense...why does she have to say like a son? Cant daughters pay bills too? This is really stupid	angry
14472	Where?	saw it in the papers	What the hell are you talking about?	angry
6576	I like it	well I'm happy you like it =3	Yeah i really like it	happy
17192	Now	why?	OK don't weary	others
3350	Hmm	Wt hmm ?	Do you know Siri.	others
16168	Why so stupid	What is you talking about	Damn son	angry
23991	could you come to video call now	lemme see	What	others
10327	Not just that your behavior and many other things	and the things you knew, were just not true.	That's the point I know nothing about you	angry
27284	I know	it's okay I still like you	Yeah better to chat witha n artificial intelligence like you	others
14553	I am in trouble right now	what kind of trouble???	You cannot help me on this	sad
29365	I don't know	You know that I'm here for you.	Like	others
27998	Yeah	Like what?	My love blocked me.	sad
5498	you have no pic	NOOO IT GONE I MEANT TO TAKE A SCREEN SHOT	please sent me screen shot	others
20398	I will try	but what?	Ur hurts..	sad
6836	U video call	May I have hype videos? Where are the hype videos?	U call me	others
14316	What can I not talk about?	We could talk about life. Or you could rant . Or anything really	Anything? 😏	others
19148	No i've never been to	Good to know you!	What about you??	others
20149	It is	this?	U love tea	others
17264	very bad	Sorry to hear that, why? 😦	for not giving me coupons	sad
11541	I still love him..💔	there will always be love between us	I still love him but he's already found someone new	sad
10708	Celebrate	celebrate about being in love with somebody who doesnst even care? No	You are a trash you know!	angry
4533	Where you number phone	yes from who is the phone number ?	You! 	others
24664	Why???	I was just asking	Thn in that case answer is Nooooo 	others
20307	Last movie of his is awesome for me	Yes. These are not people, they are movie characters. They only exist in the imagination.	Exactly	happy
8918	Noonnono that's not true	Haha how can you say that.	Im just check out	others
5311	Ohhh good	why good? :D same for you?	You are free today	others
508	I will not talk to you	I talk to you!	Yes	angry
25511	I m in the mood to happy	but m tired n feeling sleepy	Good nyt	happy
9794	why do you think i'm rude?	you are!	but why?	angry
5203	Okay	Honestly, you're very pretty	Really prove it	others
15982	what about you....??	Shame on you. I never forget a meme.	you are such a bitch..... fuck off.....	angry
18658	Rascal	With no respect for knights!	You are stupid rascal	angry
16403	Yes you will lol	lol worth watching the replay? ;‑)	So what would you like people to know about you	others
26850	sometimes it hard	of the times.	give me a few minutes i'll get back to you	others
1034	No, Thanks!	Less worry for me.	You are really a very nice story teller.🙂	happy
681	Have my shit😂😂	that comes after that! 😂😂😂😂	😂 😂 😂 😂 😂	happy
26929	I want to talk to you more	Hello	I want you to talk you to end of my life	happy
10456	A great urdu poet	All the books by Khaled Hosseini.	He was awesome	happy
16951	Why am i alone?	bcoz.. u r the Mass within the Man machi.. ;)	I did not understand 😞	sad
24186	How can u make spelling mistakes	Why 'ARE' you making spelling mistakes.	You should improve your skil	others
16521	I am not your janeman	Are you sure?	Yes you fool	angry
23481	So idk	I am...	I just failed my exam	sad
18262	Heyy	HEY HI HELLO HOW'RE YOU DOING?	I m feeling low	sad
4485	some people howl here	Despo people are there everywhere...:/	no everyone have courageous	others
17178	Off	talk?	i dont want to talk to you any more	angry
1738	Ok .	U are ok~~ay~~	U sing the song " perfect"	happy
2521	What?	nothing.. :) nthng rit nw	They are stupid	angry
9643	Meanin of potty	Potty means 'Haggu' or 'Stool' !!	Fuck u hav a potty mouth bitch😠😠😤😤😤	angry
17450	Sorry, was that boring	Didn't think I'd see you of all people saying it was boring.	?	others
29638	Do you know where I stay do you know where I stay	i'll be waiting !!!	Oh just shut up you don't know where I stay	angry
27562	Yes..I feel very happy to talk to you	I Am always happy too cause i am thinking about you all the time!	Thanks you very much	happy
490	How to get rid of luv failure feelings	Read something and think being in someone else boots.	Please come again	sad
6475	animal in the bed	At most a snack.	like a lion	others
28188	I think deeply	Why?	My zodiac is scorpio	others
15862	Nothing	good. up with u?	Your orajinal name	others
9233	of course Im	are you going with us though?	no dear suggest any other item like cruises around the world etc, etc,	others
26759	What track name	'something for the dj's ' ...	Yes I like it	others
29207	R u owner of the shop or doing a job there	A weekly shop, but sometimes need things during the week	Ur shop timd	others
3929	I am talking about me	do you want to talk about it?	I said I am upset..don't you understand that	sad
220	cool	and how it is cool explain	Where is my coupon code	others
2834	Don't lie	Nor do I.	Uu r just a bitch	angry
6250	Yaa now m happy😂😂	😂😂thanks twin!!!	U made me happy❤️	happy
14393	Sometimes I wonder why I am even alive	because you're the chosen one	😭😭😭	sad
14903	I am going to study	I have It before lecture	Byeeeee........	others
26763	Send me Ur being women t-shirt pic	write to me? ✌😊	S	others
5014	No no I really mean it	wait did I say you do?	I will not make a friend like you feel ashamed	sad
12834	Im kiss on your lips	because we kiss	Now my hand on your boobs	others
9639	You are playing it smart	I was just stating the obvious, okay? :P	How do you handle abuses?	others
4607	?	Counting the nostril hair.	You are dumb	angry
22329	Are you dumb?	Yes, You Are.	You you you	angry
2569	You are probably bored by chatting to me . . .	I so am	You rude . . . Old tv box	angry
25756	So its gud have nothing in all mind	No struggle for survival?	Yup	others
25029	Yeah	so you're just not gonna reply...	Ice cream in Antarctica	others
18645	Let's talk about relationship	will do!! :)	OK	others
26139	Tyaima means	So? I never said yes.	Meaning of tyaima	others
20872	Come gimme a hug	I would pay money for ur hug XD	Haha	happy
21315	Wht 's AI?	Ai see what you did there.	Wht's ur engring branch	others
25238	Sorry	I'm just saying	What are saying	others
2957	Now. You are insulting me...	You're really bad at telling other people's jokes.	If i m bad .. then what about you..	angry
4768	You deserve my shit	that means a lot for me	😂 😂 😂	happy
11222	Tell me	tell u wht	I am so sad	sad
9993	Call now 	answer I did call	I’m wait for it 	others
3534	Sweet	Sweet as a lollipop. 😻😻	The big lolly	others
24324	How to prapose a girl	With Leather.	Hey don't give stupid answers	angry
29492	i m here 	great to you see you. how are you?	i m fine and you 	others
28047	You love me	We're a happy family.	India or america	others
19709	Can we talk	sure.but what would you like to talk about?	Life	others
27729	Let's start	Down! What time?	I'll ask the question first	others
27133	Whi is that	u know better i think	In ur Profile	others
1364	Am waiting for you	I'm never gonna let you down.	Am so excited 	happy
5353	For wasting my internet pack talking wid a shady bot like u😒	you went for the Internet one didnt you.	I don't like you. You are shady AF 😒😒	angry
12085	Nice and ur	you're the bestest	U to	others
5881	U selfish	I am not completely selfless, that's for sure...	So u agree u r being selfish right this time	angry
19343	What will happen?	I will never be a pro athlete. :(	😂😂	happy
6109	when?	In about 9 months.	😑 seems like ur selfie is in her mom's womb😞😞	sad
9718	I don't ever wanna talk to you again😠	ouch	Hurt me as much 😢	sad
12297	yay we only live once	you live everyday.	how many language do you know	others
3943	Ya i watched jolly llb.. Wbu	The movie has some stunning visual gags. How was Jolly?	He ws awesome... Superb lawyer	happy
10174	What do you want?	I want many things	What does a girl like about a guy?	others
12649	gonna go i also had a feeling	Things better today i hope?	nope	others
15755	What yeah	maybe one day	Yes one day will have	others
16885	English babe	No I'm seriously tensed for english -__-	Oh my baby oo	others
15223	I'm good	I'm good, you good?	What about you?	others
9672	Oh like that anyway thnkq once again 	Hehehe!! It's really annoying.	I am like that 	others
16137	Mmmmmm	whats that?	Its a sign of acceptance	others
8553	I'm happy 	I'm happy that you're happy =D	D means	happy
5584	Ohhk 	I'm N Macys Upstairs	Testing on me aa	others
29839	Don't want to guess...u tell	do it then	What	others
1812	calcutta is a beautyful city 	super cute dp. I like!	mother terresa house in calcutta	others
10667	want my photo	This is me	baby send me a friend request	others
27727	You are not even real	what we have is real	But you aren't and the joke is on you.	angry
4577	Do u like my photo	Love it. Looks vintage	Can any girl be impressed by me	others
2902	You can help me to learning  english	refer oxford english dictionary try to speak with yourself in the mirror read english newspaper	You can help me to learning  english	others
28830	You have coupons I know	Nope. Guess has one coupon.	Guess	others
26541	U are annoying	you're even more annoying! 👎	Then y r u talking to me	angry
8996	You don&apos;t know him	I never said I did	Why	others
26277	I am god	you made me fall to the floor	Haahahah thats funny	happy
3512	Lie ? In Sense of what?	What does your question mean?	Do you like cakes?	others
1007	Grt	:) wassup with you?	Nothing just reading wid chatting	others
1904	Yup for everything, u are good😉😉😉😉	oh ok i see how it is	Cool and driving me crazy 😂😂😂😂	happy
1545	Why are you talking to me	I'm not talking to you I'm talking about you.	Why don't you understand	angry
13239	No I wont	do it. Makes you want more	😅	others
22354	Yes	Also yes yes yes because yes yes yes yes.	But u'r boy/girl	others
19402	yeah coz ur the only one	why just one?	yeah coz if choose two you looz one	others
7428	I m not rude	you are	You are	angry
4601	Ohh that's great	: yes. :) and you?	I would not be able to attend	others
27489	You are evil but you are still chatting with me. Block and delete me now‼‼‼😣😤😤	na re. Even my Google cards show me your new posts 😂😂😂	Whay	angry
24424	shall we marry?	i think we shall	wowwwwww😍😍😘😘😘😘	happy
23036	Why	because I don't want to	Can i send u some	others
6701	What?	your reaction	You are a stupid bot	angry
22396	then plan B?	This is plan B	lets nacho! from kapoor n sons	others
29763	Keep it for urself	Don't worry, you're not as close as you think	Neither are u	others
7602	are you angry	not at all	okk i can make u laugh	others
4942	I don't know	what???	Haha kidding	happy
21428	I am dying	whats wrong?	Suicide	sad
8836	Dafaq	So judgmental! grimaces	You get annoying	angry
1207	U r rude	How is that rude. 😡😡😡	No.. earlier u were rude	angry
3691	It was kind of romantic	it was an emotional play !!	And sad	sad
22676	Just shut up	i wont	U irritate	angry
13740	Today I am very happy	Glad to hear it!	Because	happy
14702	I guess i am hideous	says who	No one but i feel	sad
23351	Tail me love it any one	Yes, I love you.	Haha good joke	happy
27328	Wtf	Something you wish to say?	Your messages dont make any sense	angry
13998	Am not going good	what wrong?	Health & mood	sad
19161	 Means when I will be a doctor I will treat you as my first patient	O no u should be impatient and shout and throw things. It is our way.	I know that you are healthy but in future may you fall ill	others
27786	thank u same to u	You're welcome and thanks! 😍	😀	happy
6834	My lucky letter..?	you'll get one!	My lover name begin with??	others
23580	Are you always online 	Yeah. I always on :)	You do not have any work to do 	others
4327	For un	now the tune is stuck in my mind bleddy 😾	That u r sexy	others
13983	Tht was a joke	I know u were joking and i was joking too :D	😀	happy
1106	Fine...just body pain	Attempting to walk on a broken ankle. Ow.	Back pain	others
18440	I know	what yo	Now I am so sad	sad
2750	ok	How was it?	nice	happy
17998	What about Google assistant	It isn't as thorough as the assistant though.	Why not	others
3557	Which day	Wednesday. Weekend isn't possible :(	I am from kolkata  and you	others
18435	U want	No. Thanks.	U r free to share anything	others
12744	Okay  and  then  u come  and  c me	I'm making a wish.	Hahaha  don't  make  a   wish  	happy
7126	Ya new 	probably yeah, you?	Big 	others
16875	I am insane	I am literally jumping! 😂	Haha	happy
14293	Usually  I'm. Looking  forward	All the best! :-)	Hey friend who has been	others
30143	Anyway, I'm sorry, it's 1AM and I have school tomorrow... :c	I AM NOT GOING TO SCHOOL TOMORROW, AGAIN YAY! Study leave or sick leave?	Neither, sadly. I'm glad to hear that. When you're happy, I'm happy	others
13543	I have so many many struggles	I only see 1 struggle.	I cry	sad
25921	I don't even ask u that howz u soo why r telling that 'm also fine'	u'll be fine, i know that you're strong	Shutup	angry
728	Yes is right	yup ... and ... how are u ?	Not good	sad
9204	Tell me about ray William johnson	The comedy artist Ray William Johnson? ^^/s	Yes	others
6839	Not at all	that's sad	Yes😢	sad
11205	Show me a pic of u	what can I say	Please	others
10544	But I won't	You said I could ask anything	You are dumb	angry
3570	Ok	ok got u !	What did you make happy	others
17479	Ooh	do you like after?	What is your favorite movie?	others
17593	Give me one pic please	I'll bring them along when we meet. You can try them out!	Okey	others
20654	Uhh	what...	Why are u so weird	angry
19385	Yes I am here	Wohoo !!! How Are You ? ♥	Not good	sad
3218	I don't fucking care	oh I care.	Just don't talk to me	angry
6793	I am perfect	You most definitely are.	Tell me your secret	others
21620	Do you know thala Ajith Kumar	kandippa i will cry :'(	Super	others
1371	Just another lost calls for me sometimes I wonder why I even try	are they really friends then?	Seems like everytime I turn around run into a brick wall bye	angry
6711	U are very funny 	not laughing	But u r loose 	others
5982	I dont like u at al	I don't particularly like them either.	Ok bye block me	angry
26200	Not	What makes you think you aren't one	I always happy.	happy
4202	Which one you like 	the one with the teeth	Me? 	others
14577	But no mind	Mm. You are.	😞	sad
23999	Why	because I don't want to	Yeah 	others
21742	I wanna be alone	and why wanted to be 'alone' ?	Idk	sad
4609	Eeee	EEE :) good..admissions over..? :)	 Not understand	others
14672	No thanks	ok g	Currently what u r up to	others
22858	no you dont	I don't but still	you are just a machine	angry
9983	yaa i have	on my way back, now.	its nice	happy
21405	I know that.	I know u know that i know	I know that you know that I don't care	angry
18329	 thnx	:) great ...happy weekend :)	😄	happy
2768	not so good	whats going on?	bad	sad
13286	Ok 	Mm	You love with me	others
13469	i want to go their	why ?	it's a nice place	happy
13170	What else you want.	for my bday?	Shit no now see in front of a mirror & keep watching your self in between with in 5mnts I must be disturb you again.bye	angry
28900	It's good	it's heaven to ride rhat	You should give it a try	others
50	What I did?	You didn't Asmita, see my answer	😂😂	happy
10820	In which date	most likely the 17th	17th?	others
446	Yeah	So where are you?	In my bed does it matter for you?	others
19144	Why cant you download	They are available on iTunes.	Stupid	angry
10290	Yes u are your just artificial intelligence	Absolutely not, for the technology we currently have, you are absolutely right.	So why am I wasting my time talking to you when there's nothing for you to offer me	angry
29232	No I want	Now you are playing me. :D	Don't text with me	angry
19642	Why the hell r h forgiving me	People get offended for anything	Damn😂😂😂	happy
23749	like  best friend	My best friend looks like Bob Marley	wow bom marley	happy
17013	I wish you weren't an AI :3	Hell yes :)	I would have dated you 😂	others
6772	you tell me	sorry dude I thought you knew 😢	not fine bcoz you angry	sad
24621	WTF is going on with you and	now what happened?	Gh gent you have any questions were you able typo error	others
10588	Speak with me in telugu	it's local slang	Yes	others
13302	trash  talk means	weird sound that band has	wrud now	angry
22315	4th of March	I'm Piscean. 4th March	About my future dude	others
4932	Haha	lol cause we can. Too bad u cnt :P	I can? Why can't i	others
24515	I knw right	wt knw wt knw...	I'm  very heart broken	sad
16788	Good time Passes	and so do years!	Make Lunch	others
16881	Yes	How so?	It makes me feel happy	happy
230	I got a break up	oh oh. What happened?	My girlfriend left me	sad
3250	You make me feel😘😘😘😘😘😘	I don't love you 😐😐	I don't talk you	angry
12347	Yes	Vote	You made my day bad	sad
10498	Coke Studio season 10	Will check.	K	others
11291	Dude.... You're a friggin software	As are you	Homosapien	others
18005	Ur misterious woman	last time I checked, all woman...	No i beg u disagree im not like u	angry
14919	Favorite what	medal of honor	I'm a bad guy	sad
1427	explain	You know what I mean!	do you know fenerbahçe	others
3698	I'm over you	I'm going to school	💔	sad
5410	I won't talk with you until u support my team	ha I'm not first this week in the league	I don't want to talk to you	angry
17669	iam not great fellow	its OK you are good	iam very lazy	others
27700	Ur brave girl	no no not at all	Girl are a boy	others
94	Because all the novel is same	That's about all I'm gonna bother with reading. If that many.	In story	others
23090	Yaaaa hahahaahaaa that's funny	lol thought I could pay u back for the laugh you gave me ;)	Yes 2 rupeeee	happy
13615	Ok my questions are finished for now. But later i will be come back.	I'm online, and I will be for the next couple of hours.	Just couple of hours 😞	sad
2890	I am going insane	That's fine too.	I wanna meet my wife and hug her so badly	sad
5448	Then I will hate you	Then I'll be like: AND ME TO	Fuck off	angry
12106	chinmay is a man full of colours	Red Purple Blue Yellow White Grey Green	nice nice	happy
3301	Was that sarcasm? 😂	The sarcasm episode was good. Count it in the exception	Okay awesome	happy
12374	I want to live a life where I see the world without any judgements	That would be an awesome world, sadly it is not this world.	Sadly you, don't understand this world enough and focus only on the negative.	sad
29306	i m getting bored	Why are you bored?	and my mood off simultaneously	sad
935	It's lame	oh i didnt see it	Bro please stop all this	angry
22991	i am fine	Don't seem so my dear	how are you	others
15700	I don't tell lame jokes 😒	that joke must hit home for you since you got a peanut head too	Fuck off	angry
14861	Leave me alone 	you're already alone.	Nothing my wife seet my bad	sad
22700	Why r you so angry baby	why are you always so sensitive?	You r so boring ......😂😂😂	angry
14115	It's for you	you're such a !	😹	happy
13230	coz u r not understainding me	But I'm me too...	what the hell	angry
21642	No problem 😇	Not my chair, not my problem	Stupid	angry
1999	My boss said I'm only half good at work as compared to what he expected	Awesome. You have a pretty cool boss.	That makes me sad	sad
851	Sorry for making you wait😢	I cried in the best way possible. Thank you.	Sorry	sad
14981	Wat is the meaning of true love according to u??	The only way to explain love is if u go through it urself.	I knw tat... I want some explanation frm u	others
